p1,p2,p3,p4,p5,p6,p7,p8,p9,df,df_no_opt
0.1463615884,0.1151071475,0.0955181753,0.0576729726,0.0845817446,0.1166417833,0.1198065395,0.1367107593,0.1275992894,0.023864184532663653,0.0237498
0.14871827,0.1111228944,0.0832367361,0.0612811036,0.1059688952,0.1120103031,0.1370686151,0.133645502,0.1069476806,0.023832216749902036,0.0237498
0.1405893103,0.1058515595,0.0788690605,0.0522649873,0.0926980986,0.106228447,0.1391176541,0.1549418033,0.1294390794,0.023798665943758873,0.0237498
0.1391422451,0.1045500965,0.0771997109,0.0507256189,0.091490803,0.1047841493,0.140658056,0.1589371519,0.1325121684,0.02379831627149794,0.0237498
0.1667036074,0.1157646563,0.076753406,0.0513059161,0.0863166587,0.1174618467,0.1534505071,0.1298632238,0.1023801778,0.02387392006496766,0.0237498
0.1379719251,0.1091537707,0.0892864041,0.0614574976,0.1022537581,0.1097984472,0.1243461598,0.1425705028,0.1231615346,0.023824470628188984,0.0237498
0.1490161414,0.1123720853,0.083729039,0.0609309576,0.0871880013,0.0944719578,0.1356227993,0.1210001724,0.155668846,0.023838713282889706,0.0237498
0.1457376209,0.1095663763,0.0894363696,0.0527525842,0.10080384,0.1063782213,0.1490831387,0.1422080685,0.1040337806,0.02386299432366154,0.0237498
0.1482579721,0.1122730694,0.0831160292,0.0612012755,0.0930669723,0.1102174081,0.1276571784,0.132480576,0.131729519,0.023820562070754187,0.0237498
0.1395108396,0.1249935445,0.0803171497,0.0622929192,0.0991018301,0.0980953271,0.134914788,0.1495622563,0.1112113455,0.023866723788292837,0.0237498
0.151017734,0.1052693827,0.0873451866,0.0567420986,0.093979692,0.1138780812,0.1344464975,0.1293488115,0.1279725158,0.023818017638910127,0.0237498
0.1299840356,0.1116991061,0.0848394983,0.0593494432,0.1014432231,0.1099565167,0.120059157,0.1364701461,0.1461988739,0.023811085961047584,0.0237498
0.1381392919,0.1113245109,0.0863811255,0.0561825154,0.1080087092,0.1256744448,0.1276630701,0.1541646683,0.092461664,0.02384694304349885,0.0237498
0.1466486434,0.1121434949,0.0843062284,0.0598973604,0.0917206059,0.101264152,0.1338898449,0.1282197573,0.1419099128,0.02381710627238563,0.0237498
